saat,ana_ns,filtre_ns
3.7128,240.6693332121627,0.0
3.7328,241.97034745228967,0.0
3.7529,243.27136650495575,0.0
3.7729,244.57239040618592,0.0
3.793,245.87341910194246,0.0
3.8131,247.17445266427586,0.0
3.8331,248.47549103914812,0.0
3.8532,249.77653426258473,0.0
3.8733,251.07758231657303,0.0
3.8933,252.37863518310004,0.0
3.9134,253.6796928981916,0.0
3.9335,254.98075542582168,0.0
3.9535,256.28182278400334,0.0
3.9736,257.5828949727365,0.0
3.9936,258.8839720100344,0.0
4.0137,260.18505385987066,0.0
4.0338,261.4861405582719,0.0
4.0538,262.78723206921137,0.0
4.0739,264.0883284287159,0.0
4.094,265.38942961877206,0.0
4.114,266.6905356213661,0.0
4.1341,267.99164647252553,0.0
4.1542,269.29276213622273,0.0
4.1742,270.5938826484855,0.0
4.1943,271.89500797328583,0.0
4.2143,273.19613816466574,0.0
4.2344,274.4972731505693,0.0
4.2545,275.79841298503857,0.0
4.2745,277.09955763204516,0.0
4.2946,278.4007071276177,0.0
4.3147,279.7018614357275,0.0
4.3347,281.00302059240323,0.0
4.3548,282.3041845796306,0.0
4.3749,283.6053533793952,0.0
4.3949,284.90652700971117,0.0
4.415,286.20770547057873,0.0
4.435,287.50888878001257,0.0
4.4551,288.8100769019832,0.0
4.4752,290.1112698725203,0.0
4.4952,291.4124676555941,0.0
4.5153,292.71367028723444,0.0
4.5354,294.0148777314114,0.0
4.5554,295.31609000613986,0.0
4.5755,296.61730712943506,0.0
4.5956,297.9185291373279,0.0
4.6156,299.21975592172663,0.0
4.6357,300.5209875186615,0.0
4.6557,301.8222239641636,0.0
4.6758,303.1234652222017,0.0
4.6959,304.4247113288069,0.0
4.7159,305.72596222993235,0.0
4.736,307.0272180156566,0.0
4.7561,308.32847857788505,0.0
4.7761,309.6297440066967,0.0
4.7962,310.9310142480441,0.0
4.8163,312.232289337959,0.0
4.8363,313.53356925842564,0.0
4.8564,314.8348539914277,0.0
4.8764,316.1361435729975,0.0
4.8965,317.43743796710277,0.0
4.9166,318.7387372097758,0.0
4.9366,320.04004126498415,0.0
4.9567,321.34135018677705,0.0
4.9768,322.6426639211051,0.0
4.9968,323.9439824859849,0.0
5.0169,325.24530586339955,0.0
5.0369,326.54663408938256,0.0
5.057,327.8479671459173,0.0
5.0771,329.1493050149867,0.0
5.0971,330.4506477326246,0.0
5.1172,331.7519952627971,0.0
5.1373,333.0533476415383,0.0
5.1573,334.354704832814,0.0
5.1774,335.65606685464115,0.0
5.1975,336.9574337070198,0.0
5.2175,338.2588054079675,0.0
5.2376,339.56018192144927,0.0
5.2576,340.86156330151766,0.0
5.2777,342.1629494761027,0.0
5.2978,343.4643404812392,0.0
5.3178,344.765736334945,0.0
5.3379,346.0671370011846,0.0
5.358,347.3685425159936,0.0
5.378,348.6699528433365,0.0
5.3981,349.9713680372668,0.0
5.4182,351.2727880257127,0.0
5.4382,352.57421286272836,0.0
5.4583,353.87564251227747,0.0
5.4783,355.1770770103964,0.0
5.4984,356.47851630303023,0.0
5.5185,357.7799604622523,0.0
5.5385,359.081409452026,0.0
5.5586,360.3828632543329,0.0
5.5787,361.6843219052098,0.0
5.5987,362.9857853686198,0.0
5.6188,364.28725368060003,0.0
5.6389,365.58872680511314,0.0
5.6589,366.8902047601777,0.0
5.679,368.1916875457939,0.0
5.699,369.4931751799806,0.0
5.7191,370.7946676266999,0.0
5.7392,372.0961649219898,0.0
5.7592,373.3976670298122,0.0
5.7793,374.6991739862054,0.0
5.7994,376.0006857731502,0.0
5.8194,377.30220237262733,0.0
5.8395,378.60372382067544,0.0
5.8596,379.90525008125564,0.0
5.8796,381.206781190407,0.0
5.8997,382.50831709407066,0.0
5.9197,383.80985788234494,0.0
5.9398,385.11140348315126,0.0
5.9599,386.41295391450916,0.0
5.9799,387.7145091583988,0.0
6.0,389.01606925085997,0.0
