saat,health,bit10_holdover,bit4_faz
5.6542,20,1,1
5.6692,20,1,1
5.6843,20,1,1
5.6993,20,1,1
5.7143,20,1,1
5.7294,20,1,1
5.7444,20,1,1
5.7594,20,1,1
5.7745,20,1,1
5.7895,20,1,1
5.8045,20,1,1
5.8196,20,1,1
5.8346,20,1,1
5.8496,20,1,1
5.8647,20,1,1
5.8797,20,1,1
5.8948,20,1,1
5.9098,20,1,1
5.9248,20,1,1
5.9399,20,1,1
5.9549,20,1,1
5.9699,20,1,1
5.985,20,1,1
6.0,20,1,1
